Project ID,Specimen ID,T type class,T type sub-class,T type,T type assignment probability,MET type,Cortical layer,Genotype,Electrophysiology available,M/E/T available,Morphology available,Transcriptomics available,Adaptation,Avg ISI,Fast trough V (long square) (millivolts),Fast trough V (ramp) (millivolts),Fast trough V (short square) (millivolts),F I curve slope,Latency,Peak V (long square) (millivolts),Peak V (ramp) (millivolts),Peak V (short square) (millivolts),sag,tau,Threshold I (long square) (picoamps),Threshold I (ramp) (picoamps),Threshold I (short square) (picoamps),Threshold V (long square) (millivolts),Threshold V (ramp) (millivolts),Threshold V (short square) (millivolts),Trough V (long square) (millivolts),Trough V (ramp) (millivolts),Trough V (short square) (millivolts),Upstroke/downstroke ratio (long square),Upstroke/downstroke ratio (ramp),Upstroke/downstroke ratio (short square),Vrest (millivolts),Age (postnatal days),Anatomical Structure,Apical Dendrite Status,Brain hemisphere,Dendrite type (aspiny or sparsely spiny),Fluorescent protein positive,Neuron Reconstruction Type,Sex,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth,Cell set accession ID,T type class assignment probability,T type sub-class assignment probability
1HEYEW7GMUKWIQW37BO,888317699,MGE interneuron,Sst interneuron,Sst Tac1 Tacr3,0.4,,5,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt,1,0,0,1,0.165506218103596,77.3371428571429,-49.8999977111816,-45.2979164123535,-53.3250007629395,0.219148947895784,0.0533,33.96875,25.1270847320557,34.8062515258789,0.0881039649248123,15.4762333874538,59.9999961853027,133.875,440,-30.8812522888184,-21.4541683197021,-36.0656242370605,-50.0250015258789,-45.3875007629395,-68.2125015258789,1.59347751159545,1.30503928793348,1.65448857647168,-68.242925008138,50,VISp,,right,aspiny,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100033,1,1
1HEYEW7GMUKWIQW37BO,765853817,MGE interneuron,Pvalb interneuron,Pvalb Reln Itm2a,0.51,,2/3,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,1,0,0,1,0.002829022273059,22.3066666666667,-48.7374992370606,,-56.3937530517578,0.700000282287612,0.03506,14.0062503814697,,14.2312507629395,0.053378760814667,41.7950715454448,450,,949.999938964844,-28.7812519073486,,-37.8125,-48.8062515258789,,-71,1.49619406987411,,1.59458484460051,-70.2112693786621,54,VISl,,left,,positive,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100058,1,1
1HEYEW7GMUKWIQW37BO,671876425,CGE interneuron,Lamp5 interneuron,Lamp5 Lsp1,0.59,,2/3,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt,1,0,0,1,-0.00876875095586,87.8111111111111,-52.3437538146973,-53.3437538146973,-70.0125045776367,0.128299488976208,0.15598,15.5625009536743,8.375,15.0812505722046,0.01027805916965,7.96901162298956,210,326.1875,969.999938964844,-39.09375,-38.90625,-46.4187507629395,-56.5000038146973,-54.921875,-83.6750030517578,3.79929190768589,2.9342963780208,2.10721009256609,-82.3870162963867,44,VISp,,right,,positive,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100006,1,1
1HEYEW7GMUKWIQW37BO,906699622,MGE interneuron,Sst interneuron,Sst Esm1,1,,5,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt,1,0,0,1,0.173163245948272,44.145,-52.5687522888184,-38.8833351135254,-52.8968734741211,0.074999999046324,0.0327,28.3187522888184,27.9750003814697,28.8062515258789,0.020501164719462,22.5663319424209,80,194.95832824707,560,-32.8875045776367,-11.8875007629395,-24.5531272888184,-52.6187477111816,-38.9500007629395,-71.8718719482422,1.84912115607559,1.0629470698457,1.55397367342795,-69.6015823364258,56,VISp,,right,,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100046,1,1
1HEYEW7GMUKWIQW37BO,778301240,MGE interneuron,Pvalb interneuron,Pvalb Gabrg1,1,,6a,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt,1,0,0,1,0.00100155878033,9.27698113207547,-49.6187515258789,-38.6000022888184,-50.5593757629395,1.80280365851532,0.00626,27.5562515258789,12.8625001907349,30.5187492370605,0.086389124393463,12.0574919687913,59.9999961853027,124.666664123535,180,-29.0000019073486,-16.4208335876465,-31.9500007629394,-49.7999992370606,-38.6979141235352,-50.8156280517578,1.53023982013754,1.06433068019592,1.54379469446282,-49.9222774505615,54,VISp,,right,,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100051,1,1
1HEYEW7GMUKWIQW37BO,642833509,CGE interneuron,Lamp5 interneuron,Lamp5 Lsp1,0.5,,1,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt,1,0,0,1,0.004012091736107,52.2529411764706,-42.6250038146973,-43.7343788146973,-54.8906288146973,0.347142859805356,0.06164,11.3750009536743,12.703125,11.3333330154419,0.029719086363912,11.8735009735542,80,76.6875,440,-27.71875,-27.3906269073486,-24.8177089691162,-46.40625,-46.2656288146973,-64.3645858764648,3.18790322990814,3.31017359015658,2.38221746488566,-63.5783796310425,40,VISp,,right,,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100005,1,1
1HEYEW7GMUKWIQW37BO,665271681,CGE interneuron,Vip interneuron,Vip Lect1 Oxtr,0.51,,2/3,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,1,0,0,1,0.05812428074123,43.1954545454546,-56.9687538146973,-59.6562538146973,-58.8802146911621,0.362500038146976,0.0133,34.5625038146973,27.0208339691162,31.0572910308838,0.293050944805145,16.7410453698778,40,31.7916660308838,200,-47.46875,-51.15625,-63.3437538146973,-57.0000038146973,-59.7395820617676,-63.8281288146973,2.7070226614725,2.55761372820941,2.71650553765161,-69.9811066847581,48,VISp,,left,,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100023,1,1
1HEYEW7GMUKWIQW37BO,848617769,MGE interneuron,Sst interneuron,Sst Nts,1,,6a,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt,1,0,0,1,,7.83999999999996,-54.6312522888184,-53.1000061035156,-54.7062530517578,0.015,0.02666,29.4499988555908,19.2979183197021,25.4187507629394,0.054933145642281,16.0049391542246,50,125.958335876465,430,-39.2687492370605,-31.21875,-43.7750015258789,-54.8250045776367,-53.2291679382324,-75.65625,2.31557330992924,1.63832338681392,2.17964695960783,-76.0342010498047,51,VISp,,left,,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100050,1,1
1HEYEW7GMUKWIQW37BO,828684036,MGE interneuron,Pvalb interneuron,Pvalb Reln Itm2a,0.97,,4,Vipr2-IRES2-Cre/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,1,0,0,1,-0.068624252198349,19.0475,-60.0375022888184,-58.4937553405762,-63.8687553405762,0.467647103834297,0.01096,26.3187503814697,20.6875019073486,30.7375011444092,0.056189388036728,6.75289141127316,180,228.33332824707,420,-34.1687545776367,-31.4937534332275,-45.2749977111816,-60.1750030517578,-58.5625,-76.6437530517578,1.46321660247551,1.37342247257077,1.6288845073178,-75.7193935939244,55,VISl,,left,,positive,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100058,1,1
1HEYEW7GMUKWIQW37BO,708696754,CGE interneuron,Lamp5 interneuron,Lamp5 Lsp1,1,,4,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,1,0,0,1,-0.010705599344088,72.4716666666667,-48.90625,-47.46875,-58.921875,0.182701418024892,0.066,29.5000019073486,27.8750019073486,27.5390625,0.090522848069668,7.4165234692612,210,222.875,910,-28.3437519073486,-28.4062519073486,-34.8203125,-51.9375,-50.6093788146973,-71.7656326293945,3.24538638402599,3.16120927781705,2.23243361335584,-70.7039975253018,60,VISp,,left,,positive,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS180626100006,1,1
